Code,HeroId,LocId,Text,Action,Text RU,Action RU,Text UK,Action UK,Image,Link
1152,hero1,loc04,"""Lou Gehrig played in 152 games in 1933. That's a lot of games!"" exclaims Mikey.",,«Лу Гериг сыграл в 152 играх в 1933 году. Это очень много игр!» — восклицает Майки.,,«Лу Геріг зіграв у 152 іграх у 1933 році. Це дуже багато ігор!» — вигукує Майкі.,,,
1198,hero1,loc04,"""Whoa!"" exclaims Mikey.
""198! That's a lot of hits in one year!""",,"«Ого!» — восклицает Майки.
«198! Это много хитов за один год!»",,"«Ого!» — вигукує Майкі.
«198! Це багато хітів за один рік!»",,,
1200,hero1,loc02,What do you see when you look at the moss in this room?,,"Что вы видите, когда смотрите на мох в этой комнате?",,"Що ви бачите, коли дивитеся на мох у цій кімнаті?",,,
1201,hero1,loc03,"""It's like a maze, but it's made of pipes!"" whispers Mikey, fascinated with the intricate pipe system.
""Hey, Mouth! Your dad's a plumber. Do you know anything about these pipes?""",,"«Это похоже на лабиринт, но он сделан из труб!» — шепчет Майки, очарованный сложной системой труб.
«Эй, Маут! Твой отец водопроводчик. Ты что-нибудь знаешь об этих трубах?»",,"«Це схоже на лабіринт, але він зроблений з труб!» — шепоче Майкі, зачарований складною системою труб.
«Гей, Маут! Твій батько водопровідник. Ти що-небудь знаєш про ці труби?»",,,
1202,hero1,loc08,Mikey spies a leather backpack lying near the skeleton.,,"Майки замечает кожаный рюкзак, лежащий возле скелета.",,"Майкі помічає шкіряний рюкзак, що лежить біля скелета.",,,
1203,hero1,loc04,"""It looks like there's something in this box... some sort of button or switch, but there's bars blocking it,""
Mikey says, examining the stone construct in the corner of the room.",,"«Кажется, в этой коробке что-то есть... какая-то кнопка или переключатель, но путь преграждает решетка», — говорит Майки, осматривая каменную конструкцию в углу комнаты.",,"«Здається, у цій коробці щось є... якась кнопка або перемикач, але шлях перегороджує решітка», — каже Майкі, оглядаючи кам'яну конструкцію в кутку кімнати.",,,
1207,hero1,loc05,"""Look! There's the exit, but we can't get there from here. Something's missing,""
Mikey says.",,"«Смотрите! Вон выход, но мы не можем туда добраться отсюда. Чего-то не хватает», — говорит Майки.",,"«Дивіться! Он вихід, але ми не можемо туди дістатися звідси. Чогось не вистачає», — каже Майкі.",,,
1209,hero1,loc09,"Mikey stands rooted to the floorboards. This must have been what it felt like when Neil Armstrong landed on the Moon! The skeletons of several other pirates are seated around a table covered in treasure, but Mikey is focused on the one with the patch over its eye.
""Hello. I'm Mike Walsh,"" he says to the long-dead pirate.
""You've been expecting me, haven't you? Well I made it. I beat you. I got here in one piece... so far.""
Mikey lifts up the eyepatch gingerly, revealing smooth bone - there is no eye socket at all!
""So, that's why they call you One-Eyed Willy. We have a lot in common, huh Willy?"" says Mikey before using his inhaler and holding his breath to let the medicine take effect.
""You know something, Willy? You were the first Goonie!""
The rest of the gang interrupts Mikey's one-sided conversation. They are gazing longingly at the table laden with rich stuff. Data reaches for the gold that is sitting on a scale in front of Willy. Mikey reaches out and stops him.
""Be careful,"" he explains.
""We need to save some rich stuff for Willy. Once we figure out what he wants to keep, we can take anything else.""
Data asks, ""How will we know what treasure to leave for Willy, Mikey?"" ""He's left us clues. We just gotta figure them out!""
Mikey says with certainty.",,"Майки стоит как вкопанный на половицах. Должно быть, именно это чувствовал Нил Армстронг, когда высадился на Луну! Скелеты нескольких других пиратов сидят вокруг стола, усыпанного сокровищами, но Майки сосредоточен на том, у которого повязка на глазу.
«Привет. Я Майк Уолш», — говорит он давно умершему пирату.
«Ты ведь ждал меня, не так ли? Что ж, я добрался. Я победил тебя. Я добрался сюда целым и невредимым... пока что». Майки осторожно приподнимает повязку, открывая гладкую кость — там вообще нет глазницы!
«Так вот почему они называют тебя Одноглазым Вилли. У нас много общего, да, Вилли?» — говорит Майки, прежде чем воспользоваться своим ингалятором и задержать дыхание, чтобы лекарство подействовало.
«Знаешь что, Вилли? Ты был первым балбесом!»
Остальная часть банды прерывает односторонний разговор Майки. Они с тоской смотрят на стол, заваленный богатствами. Дата тянется за золотом, лежащим на весах перед Вилли. Майки протягивает руку и останавливает его.
«Осторожнее», — объясняет он.
«Мы должны оставить часть богатств для Вилли. Как только мы поймем, что он хочет оставить себе, мы сможем забрать все остальное». Дата спрашивает: «Как мы узнаем, какие сокровища оставить для Вилли, Майки?» «Он оставил нам подсказки. Нам просто нужно их разгадать!» — с уверенностью говорит Майки.",,"Майкі стоїть як укопаний на мостинах. Мабуть, саме це відчував Ніл Армстронг, коли висадився на Місяць! Скелети кількох інших піратів сидять навколо столу, всипаного скарбами, але Майкі зосереджений на тому, у якого пов'язка на оці.
«Привіт. Я Майк Волш», — каже він давно померлому пірату.
«Ти ж чекав на мене, чи не так? Що ж, я дістався. Я переміг тебе. Я дістався сюди цілим і неушкодженим... поки що». Майкі обережно піднімає пов'язку, відкриваючи гладку кістку — там взагалі немає очної ямки!
«То ось чому вони називають тебе Однооким Віллі. У нас багато спільного, так, Віллі?» — каже Майкі, перш ніж скористатися своїм інгалятором і затримати дихання, щоб ліки подіяли.
«Знаєш що, Віллі? Ти був першим йолопом!»
Решта банди перериває односторонню розмову Майкі. Вони з тугою дивляться на стіл, завалений багатствами. Дата тягнеться за золотом, що лежить на вагах перед Віллі. Майкі простягає руку і зупиняє його.
«Обережніше», — пояснює він.
«Ми повинні залишити частину багатств для Віллі. Як тільки ми зрозуміємо, що він хоче залишити собі, ми зможемо забрати все інше». Дата запитує: «Як ми дізнаємося, які скарби залишити для Віллі, Майкі?» «Він залишив нам підказки. Нам просто потрібно їх розгадати!» — з упевненістю каже Майкі.",,,
1210,hero1,loc07,"Mikey, Mouth, Data, and Chunk pedal past the Astoria Column. Mikey tries to line the doubloon up with the top of the Astoria Column.
""The top fits nicely in one of the spaces, but nothing else lines up. What do you think?""
Mikey asks. Mouth swivels the coin around in circles, trying to line up the scratches in the tower with the holes in the doubloon.
""Nope, I got nothing. I think we need to keep looking.""",,"Майки, Маут, Дата и Чанк проезжают на велосипедах мимо колонны Астории. Майки пытается совместить дублон с вершиной колонны Астории.
«Вершина хорошо вписывается в одно из отверстий, но больше ничего не совпадает. Что думаете?» — спрашивает Майки. Маут крутит монету по кругу, пытаясь совместить царапины на башне с отверстиями в дублоне.
«Нет, ничего не выходит. Думаю, нам нужно продолжать искать».",,"Майкі, Маут, Дата і Чанк проїжджають на велосипедах повз колону Асторії. Майкі намагається сумістити дублон з вершиною колони Асторії.
«Вершина добре вписується в один з отворів, але більше нічого не збігається. Що думаєте?» — запитує Майкі. Маут крутить монету по колу, намагаючись сумістити подряпини на вежі з отворами в дублоні.
«Ні, нічого не виходить. Думаю, нам потрібно продовжувати шукати».",,,
1212,hero1,loc08,"""I can't make heads or tails of that - that's Mouth's area of expertise,"" says Mikey.",,"«Я ничего не могу в этом понять — это по части Маута», — говорит Майки.",,"«Я нічого не можу в цьому зрозуміти — це по частині Маута», — каже Майкі.",,,
1222,hero1,loc04,"""This is so cool!"" exclaims Mikey excitedly.
""One of Chester Copperpot's actual journal pages! Looks like he was pretty forgetful if he had to write himself notes like this.""
Mikey reads the page again.
""Hey wait a second...I think he's referring to those discs over there,"" he says, pointing at the stone circles on the floor.
""Somehow, he knew about the traps in this room even though he never made it this far! Don't worry Chester, we'll find that gold,""
Mikey promises.",,"«Это так круто!» — взволнованно восклицает Майки.
«Одна из настоящих страниц дневника Честера Копперпота! Похоже, он был довольно забывчивым, раз ему приходилось писать себе такие заметки». Майки снова читает страницу.
«Эй, подождите-ка... Я думаю, он имеет в виду вон те диски», — говорит он, указывая на каменные круги на полу.
«Каким-то образом он знал о ловушках в этой комнате, хотя так и не добрался досюда! Не волнуйся, Честер, мы найдем это золото», — обещает Майки.",,"«Це так круто!» — схвильовано вигукує Майкі.
«Одна зі справжніх сторінок щоденника Честера Копперпота! Схоже, він був досить забудькуватим, якщо йому доводилося писати собі такі нотатки». Майкі знову читає сторінку.
«Гей, зачекайте-но... Я думаю, він має на увазі он ті диски», — каже він, вказуючи на кам'яні кола на підлозі.
«Якимось чином він знав про пастки в цій кімнаті, хоча так і не дістався сюди! Не хвилюйся, Честере, ми знайдемо це золото», — обіцяє Майкі.",,,
